image_pth,mask_pth
0029/images/2Dimage_0022.pkl,0029/masks/2Dmask_0022.pkl
0004/images/2Dimage_0008.pkl,0004/masks/2Dmask_0008.pkl
0032/images/2Dimage_0115.pkl,0032/masks/2Dmask_0115.pkl
0026/images/2Dimage_0070.pkl,0026/masks/2Dmask_0070.pkl
0033/images/2Dimage_0092.pkl,0033/masks/2Dmask_0092.pkl
0005/images/2Dimage_0018.pkl,0005/masks/2Dmask_0018.pkl
0034/images/2Dimage_0040.pkl,0034/masks/2Dmask_0040.pkl
0010/images/2Dimage_0010.pkl,0010/masks/2Dmask_0010.pkl
0033/images/2Dimage_0021.pkl,0033/masks/2Dmask_0021.pkl
0034/images/2Dimage_0009.pkl,0034/masks/2Dmask_0009.pkl
0007/images/2Dimage_0140.pkl,0007/masks/2Dmask_0140.pkl
0007/images/2Dimage_0078.pkl,0007/masks/2Dmask_0078.pkl
0010/images/2Dimage_0105.pkl,0010/masks/2Dmask_0105.pkl
0034/images/2Dimage_0050.pkl,0034/masks/2Dmask_0050.pkl
0010/images/2Dimage_0032.pkl,0010/masks/2Dmask_0032.pkl
0005/images/2Dimage_0050.pkl,0005/masks/2Dmask_0050.pkl
0032/images/2Dimage_0126.pkl,0032/masks/2Dmask_0126.pkl
0003/images/2Dimage_0096.pkl,0003/masks/2Dmask_0096.pkl
0001/images/2Dimage_0137.pkl,0001/masks/2Dmask_0137.pkl
0003/images/2Dimage_0048.pkl,0003/masks/2Dmask_0048.pkl
0025/images/2Dimage_0008.pkl,0025/masks/2Dmask_0008.pkl
0003/images/2Dimage_0093.pkl,0003/masks/2Dmask_0093.pkl
0001/images/2Dimage_0054.pkl,0001/masks/2Dmask_0054.pkl
0003/images/2Dimage_0185.pkl,0003/masks/2Dmask_0185.pkl
0008/images/2Dimage_0097.pkl,0008/masks/2Dmask_0097.pkl
0031/images/2Dimage_0066.pkl,0031/masks/2Dmask_0066.pkl
0032/images/2Dimage_0142.pkl,0032/masks/2Dmask_0142.pkl
0004/images/2Dimage_0123.pkl,0004/masks/2Dmask_0123.pkl
0031/images/2Dimage_0020.pkl,0031/masks/2Dmask_0020.pkl
0028/images/2Dimage_0035.pkl,0028/masks/2Dmask_0035.pkl
0021/images/2Dimage_0127.pkl,0021/masks/2Dmask_0127.pkl
0023/images/2Dimage_0025.pkl,0023/masks/2Dmask_0025.pkl
0032/images/2Dimage_0076.pkl,0032/masks/2Dmask_0076.pkl
0022/images/2Dimage_0085.pkl,0022/masks/2Dmask_0085.pkl
0002/images/2Dimage_0042.pkl,0002/masks/2Dmask_0042.pkl
0009/images/2Dimage_0105.pkl,0009/masks/2Dmask_0105.pkl
0005/images/2Dimage_0002.pkl,0005/masks/2Dmask_0002.pkl
0005/images/2Dimage_0047.pkl,0005/masks/2Dmask_0047.pkl
0002/images/2Dimage_0065.pkl,0002/masks/2Dmask_0065.pkl
0031/images/2Dimage_0014.pkl,0031/masks/2Dmask_0014.pkl
0024/images/2Dimage_0102.pkl,0024/masks/2Dmask_0102.pkl
0006/images/2Dimage_0065.pkl,0006/masks/2Dmask_0065.pkl
0010/images/2Dimage_0023.pkl,0010/masks/2Dmask_0023.pkl
0033/images/2Dimage_0040.pkl,0033/masks/2Dmask_0040.pkl
0032/images/2Dimage_0037.pkl,0032/masks/2Dmask_0037.pkl
0007/images/2Dimage_0096.pkl,0007/masks/2Dmask_0096.pkl
0030/images/2Dimage_0112.pkl,0030/masks/2Dmask_0112.pkl
0007/images/2Dimage_0087.pkl,0007/masks/2Dmask_0087.pkl
0023/images/2Dimage_0061.pkl,0023/masks/2Dmask_0061.pkl
0008/images/2Dimage_0040.pkl,0008/masks/2Dmask_0040.pkl
0001/images/2Dimage_0145.pkl,0001/masks/2Dmask_0145.pkl
0004/images/2Dimage_0111.pkl,0004/masks/2Dmask_0111.pkl
0024/images/2Dimage_0075.pkl,0024/masks/2Dmask_0075.pkl
0005/images/2Dimage_0031.pkl,0005/masks/2Dmask_0031.pkl
0032/images/2Dimage_0036.pkl,0032/masks/2Dmask_0036.pkl
0003/images/2Dimage_0035.pkl,0003/masks/2Dmask_0035.pkl
0031/images/2Dimage_0041.pkl,0031/masks/2Dmask_0041.pkl
0010/images/2Dimage_0079.pkl,0010/masks/2Dmask_0079.pkl
0021/images/2Dimage_0134.pkl,0021/masks/2Dmask_0134.pkl
